trn_site,test_site,threshold,s_l,value
Site_23,Site_5,1.0,s,0.3744964003562927
Site_23,Site_5,1.0,l,0.6709784269332886
Site_23,Site_5,2.0,s,0.3833877444267273
Site_23,Site_5,2.0,l,
Site_23,Site_5,3.0,s,0.39609917998313904
Site_23,Site_5,3.0,l,
Site_23,Site_5,4.0,s,0.4009278416633606
Site_23,Site_5,4.0,l,
Site_23,Site_5,5.0,s,
Site_23,Site_5,5.0,l,
Site_25,Site_5,1.0,s,0.10865958780050278
Site_25,Site_5,1.0,l,0.17394380271434784
Site_25,Site_5,2.0,s,0.11013354361057281
Site_25,Site_5,2.0,l,
Site_25,Site_5,3.0,s,0.10423078387975693
Site_25,Site_5,3.0,l,
Site_25,Site_5,4.0,s,0.08779455721378326
Site_25,Site_5,4.0,l,
Site_25,Site_5,5.0,s,
Site_25,Site_5,5.0,l,
Site_23,Site_25,1.0,s,0.16426478326320648
Site_23,Site_25,1.0,l,0.23712682723999023
Site_23,Site_25,2.0,s,0.12883630394935608
Site_23,Site_25,2.0,l,0.1732795089483261
Site_23,Site_25,3.0,s,0.12577198445796967
Site_23,Site_25,3.0,l,0.1665903627872467
Site_23,Site_25,4.0,s,0.13981637358665466
Site_23,Site_25,4.0,l,0.1585741639137268
Site_23,Site_25,5.0,s,0.14928816258907318
Site_23,Site_25,5.0,l,0.18485772609710693
Site_25,Site_1,1.0,s,0.14258000254631042
Site_25,Site_1,1.0,l,0.25157231092453003
Site_25,Site_1,2.0,s,0.11780309677124023
Site_25,Site_1,2.0,l,0.14537830650806427
Site_25,Site_1,3.0,s,0.09944518655538559
Site_25,Site_1,3.0,l,0.10838784277439117
Site_25,Site_1,4.0,s,0.08749206364154816
Site_25,Site_1,4.0,l,0.08987253904342651
Site_25,Site_1,5.0,s,0.08178424090147018
Site_25,Site_1,5.0,l,0.09709145873785019
Site_23,Site_24,1.0,s,0.16282284259796143
Site_23,Site_24,1.0,l,0.3258253037929535
Site_23,Site_24,2.0,s,0.14231330156326294
Site_23,Site_24,2.0,l,0.23736980557441711
Site_23,Site_24,3.0,s,0.1375938206911087
Site_23,Site_24,3.0,l,0.22097750008106232
Site_23,Site_24,4.0,s,0.14334776997566223
Site_23,Site_24,4.0,l,0.21094976365566254
Site_23,Site_24,5.0,s,0.15091630816459656
Site_23,Site_24,5.0,l,0.20640535652637482
Site_1,Site_24,1.0,s,0.19309212267398834
Site_1,Site_24,1.0,l,0.3565530478954315
Site_1,Site_24,2.0,s,0.18643499910831451
Site_1,Site_24,2.0,l,0.2565426230430603
Site_1,Site_24,3.0,s,0.19070447981357574
Site_1,Site_24,3.0,l,0.2197391241788864
Site_1,Site_24,4.0,s,0.19769470393657684
Site_1,Site_24,4.0,l,0.20177830755710602
Site_1,Site_24,5.0,s,0.20405535399913788
Site_1,Site_24,5.0,l,0.20293168723583221
Site_26,Site_5,1.0,s,0.4195172190666199
