trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_1,Site_24,True,True,False,0.5,s,0.2316187173128128
Site_1,Site_24,True,True,False,0.5,l,0.4661363959312439
Site_1,Site_24,True,True,False,1.0,s,0.20806129276752472
Site_1,Site_24,True,True,False,1.0,l,0.3548886477947235
Site_1,Site_24,True,True,False,2.0,s,0.2032172530889511
Site_1,Site_24,True,True,False,2.0,l,0.25763174891471863
Site_1,Site_24,True,True,False,3.0,s,0.2140614539384842
Site_1,Site_24,True,True,False,3.0,l,0.23200169205665588
Site_1,Site_24,True,True,False,4.0,s,0.23090897500514984
Site_1,Site_24,True,True,False,4.0,l,0.21625007688999176
Site_1,Site_24,True,True,False,5.0,s,0.24301914870738983
Site_1,Site_24,True,True,False,5.0,l,0.20920901000499725
Site_23,Site_25,True,False,True,0.5,s,0.19100645184516907
Site_23,Site_25,True,False,True,0.5,l,0.5902032852172852
Site_23,Site_25,True,False,True,1.0,s,0.1542283594608307
Site_23,Site_25,True,False,True,1.0,l,0.3444644510746002
Site_23,Site_25,True,False,True,2.0,s,0.11745782941579819
Site_23,Site_25,True,False,True,2.0,l,0.14325231313705444
Site_23,Site_25,True,False,True,3.0,s,0.11459100991487503
Site_23,Site_25,True,False,True,3.0,l,0.09951445460319519
Site_23,Site_25,True,False,True,4.0,s,0.1330568492412567
Site_23,Site_25,True,False,True,4.0,l,0.08634847402572632
Site_23,Site_25,True,False,True,5.0,s,0.14361585676670074
Site_23,Site_25,True,False,True,5.0,l,0.11486285924911499
Site_5,Site_26,False,False,True,0.5,s,1.0437465906143188
Site_5,Site_26,False,False,True,0.5,l,1.0033808946609497
Site_5,Site_26,False,False,True,1.0,s,0.8139780759811401
Site_5,Site_26,False,False,True,1.0,l,0.9926455020904541
Site_5,Site_26,False,False,True,2.0,s,0.7695270776748657
Site_5,Site_26,False,False,True,2.0,l,0.9912206530570984
Site_5,Site_26,False,False,True,3.0,s,0.7722208499908447
Site_5,Site_26,False,False,True,3.0,l,
Site_5,Site_26,False,False,True,4.0,s,0.7963111996650696
Site_5,Site_26,False,False,True,4.0,l,
Site_5,Site_26,False,False,True,5.0,s,0.8103458881378174
Site_5,Site_26,False,False,True,5.0,l,
Site_26,Site_23,False,False,True,0.5,s,0.8589666485786438
Site_26,Site_23,False,False,True,0.5,l,1.0068366527557373
Site_26,Site_23,False,False,True,1.0,s,0.6453458666801453
Site_26,Site_23,False,False,True,1.0,l,0.9976105093955994
